;familyKey;family;rank
455;8463.0;legeriomycetaceae;family
456;8465.0;palavasciaceae;family
457;8466.0;clavariadelphaceae;family
458;8467.0;gomphaceae;family
459;8468.0;hymenochaetaceae;family
460;8469.0;austropetaliidae;family
461;8470.0;cixiidae;family
462;8471.0;tetrabrachiidae;family
463;8472.0;thaumatichthyidae;family
464;8473.0;mugilidae;family
465;8474.0;notacanthidae;family
466;8475.0;carapidae;family
467;8476.0;ophidiidae;family
468;8477.0;alepocephalidae;family
469;8478.0;lepidogalaxiidae;family
470;8479.0;microstomatidae;family
471;8480.0;osmeridae;family
472;8481.0;platytroctidae;family
473;8482.0;plecoglossidae;family
474;8483.0;retropinnidae;family
475;8484.0;mormyridae;family
476;8485.0;osteoglossidae;family
477;8486.0;acropomatidae;family
478;8487.0;ammodytidae;family
479;8488.0;anabantidae;family
480;8489.0;anarhichadidae;family
481;8490.0;aplodactylidae;family
482;8491.0;ariommatidae;family
483;8492.0;brachyceridae;family
484;8493.0;cryptolaryngidae;family
485;8494.0;dryophthoridae;family
486;8495.0;geotrupidae;family
487;8496.0;xyridaceae;family
488;8497.0;cannaceae;family
489;8498.0;delphacidae;family
490;8499.0;dictyopharidae;family
491;8500.0;eurybrachidae;family
492;8501.0;scytosiphonaceae;family
493;8502.0;flatidae;family
494;8503.0;artedidraconidae;family
495;8504.0;banjosidae;family
496;8505.0;bathyclupeidae;family
497;8506.0;bathydraconidae;family
498;8507.0;bathymasteridae;family
499;8508.0;bramidae;family
500;8509.0;caesionidae;family
501;8510.0;callanthiidae;family
502;8511.0;callionymidae;family
503;8512.0;caproidae;family
504;8513.0;centrarchidae;family
505;8514.0;centrogenyidae;family
506;8515.0;centrolophidae;family
507;8516.0;chaenopsidae;family
508;8517.0;chaetodontidae;family
509;8518.0;champsodontidae;family
510;8519.0;cheilodactylidae;family
511;8520.0;chiasmodontidae;family
512;8521.0;chironemidae;family
513;8522.0;cichlidae;family
514;8523.0;cirrhitidae;family
515;8524.0;dactyloscopidae;family
516;8525.0;dichistiidae;family
517;8526.0;dinolestidae;family
518;8527.0;draconettidae;family
519;8528.0;drepaneidae;family
520;8529.0;echeneidae;family
521;8530.0;eleginopsidae;family
522;8531.0;emmelichthyidae;family
523;8532.0;epigonidae;family
524;8533.0;glaucosomatidae;family
525;8534.0;helostomatidae;family
526;8535.0;labridae;family
527;8536.0;lactariidae;family
528;8537.0;lateolabracidae;family
529;8538.0;leptobramidae;family
530;8539.0;leptoscopidae;family
531;8540.0;lethrinidae;family
532;8541.0;lobotidae;family
533;8542.0;lutjanidae;family
534;8543.0;malacanthidae;family
535;8544.0;microdesmidae;family
536;8545.0;moronidae;family
537;8546.0;nandidae;family
538;8547.0;nematistiidae;family
539;8548.0;nomeidae;family
540;8549.0;nototheniidae;family
541;8550.0;odacidae;family
542;8551.0;odontobutidae;family
543;8552.0;opistognathidae;family
544;8553.0;osphronemidae;family
545;8554.0;myrmecophilidae;family
546;8555.0;gryllotalpidae;family
547;8556.0;mastigophorophyllidae;family
548;8557.0;metopidiotrichidae;family
549;8558.0;niponiosomatidae;family
550;8559.0;origmatogonidae;family
551;8560.0;trachygonidae;family
552;8561.0;trichopetalidae;family
553;8562.0;urochordeumatidae;family
554;8563.0;vandeleumatidae;family
555;8564.0;verhoeffiidae;family
556;8565.0;glomeridellidae;family
557;8566.0;aprosphylosomatidae;family
558;8567.0;blaniulidae;family
559;8568.0;okeanobatidae;family
560;8569.0;paeromopodidae;family
561;8570.0;parajulidae;family
562;8571.0;ostracoberycidae;family
563;8572.0;parascorpididae;family
564;8573.0;pempheridae;family
565;8574.0;percichthyidae;family
566;8575.0;percophidae;family
567;8576.0;pholidae;family
568;8577.0;coenagrionidae;family
569;8578.0;euphaeidae;family
570;8579.0;masaridae;family
